"Befolkning efter region, ålder, utbildningsnivå, kön och år"

"region";"ålder";"utbildningsnivå";"kön";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"01 Stockholms län";"16-24 år";"förgymnasial utbildning kortare än 9 år";"män";61;356;257;391;312;784;575;496;377;436;416;334;249;223;215;216;236;475;584;648;717;763;882;898;836;807;808;805;831;874;838;882;996;1112;1285
"01 Stockholms län";"16-24 år";"förgymnasial utbildning kortare än 9 år";"kvinnor";99;564;423;664;532;977;744;661;501;651;599;489;360;314;363;355;381;545;565;663;755;696;893;897;883;887;815;769;702;677;608;650;638;609;567
"01 Stockholms län";"16-24 år";"förgymnasial utbildning, 9 (10) år";"män";37754;37641;37517;37889;37173;37896;36159;34888;33045;32741;35340;36105;37506;38172;39201;38477;39362;40768;41161;42421;44022;45757;46941;48408;48877;48968;48228;46618;44538;44358;43536;44105;44874;46364;47854
"01 Stockholms län";"16-24 år";"förgymnasial utbildning, 9 (10) år";"kvinnor";38241;38878;38871;38936;37193;36844;35922;34080;31974;31626;33583;33887;34684;34999;35360;34348;35441;36878;37401;38448;39756;41488;42376;43711;44077;43967;42846;41747;39833;39655;38657;39003;39751;41017;42295
"01 Stockholms län";"16-24 år";"gymnasial utbildning, högst 2 år";"män";30654;31659;31997;31366;30312;30173;28422;26426;24294;21437;16925;12851;9540;6439;4098;4051;3892;4455;4099;3757;3145;3824;4695;4792;5125;5283;5259;4803;4409;4175;4099;4204;4211;3999;3851
"01 Stockholms län";"16-24 år";"gymnasial utbildning, högst 2 år";"kvinnor";31905;31582;30793;29951;28932;29376;26919;25090;22713;19294;15071;11476;8381;5648;3407;3408;3262;3796;3418;3192;2774;3261;4027;4076;4237;4322;4366;4082;3890;3664;3662;3653;3582;3575;3414
"01 Stockholms län";"16-24 år";"gymnasial utbildning, 3 år";"män";16533;16905;17201;17300;17585;19484;20381;20024;21335;21509;24526;27405;28852;31059;32136;32221;31636;30523;30846;31536;32543;33384;35446;37838;40299;41989;43498;44795;46186;45522;44355;43014;42437;41662;41215
"01 Stockholms län";"16-24 år";"gymnasial utbildning, 3 år";"kvinnor";21028;22262;23395;23585;24188;25219;25927;24565;25254;25930;27417;29586;30422;32017;33308;33461;32631;31185;30931;31286;32135;33179;35394;37213;39671;40994;42244;43318;43861;42794;41714;40295;39545;38549;37802
"01 Stockholms län";"16-24 år";"eftergymnasial utbildning, mindre än 3 år";"män";6136;6553;6906;6968;6886;8007;7350;8165;8642;11276;11090;10738;10603;9768;9051;7982;8052;8288;8650;8645;8738;9204;9634;9990;10374;11350;12205;12922;13044;12938;12934;12605;11948;11574;11344
"01 Stockholms län";"16-24 år";"eftergymnasial utbildning, mindre än 3 år";"kvinnor";3409;3731;3732;3683;3905;5911;5183;7028;7835;10474;11280;11462;12111;11862;11673;10257;10637;11038;11467;11637;11721;11818;12404;12990;13377;14779;15718;16342;16617;16656;16436;15785;14964;14738;14647
"01 Stockholms län";"16-24 år";"eftergymnasial utbildning, 3 år eller mer";"män";368;413;414;386;311;778;511;275;208;345;392;442;446;405;423;2269;2107;2106;2200;2407;2368;2256;2435;2591;2832;3024;3178;3407;3646;3948;4148;4225;3947;3990;3797
